2021-10-18 22:05:13 - INFO - saving to ./results/BLResNet18
2021-10-18 22:05:13 - DEBUG - run arguments: Namespace(results_dir='./results', save='BLResNet18', dataset='rml', model='resnet_binary', input_size=None, model_config='', type='torch.cuda.FloatTensor', gpus='0', workers=8, epochs=200, start_epoch=0, batch_size=256, optimizer='SGD', lr=0.1, momentum=0.9, weight_decay=0.0001, print_freq=100, resume='', evaluate=None)
2021-10-18 22:05:13 - INFO - creating model resnet_binary
2021-10-18 22:05:13 - INFO - created model with configuration: {'input_size': None, 'dataset': 'rml'}
2021-10-18 22:05:13 - INFO - number of parameters: 736312
2021-10-18 22:05:30 - INFO - training regime: {0: {'optimizer': 'SGD', 'lr': 0.05}, 101: {'lr': 0.001}, 142: {'lr': 0.0005}, 184: {'lr': 0.0001}, 220: {'lr': 1e-05}}
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting method = SGD
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-10-18 22:12:56 - INFO - TRAINING - Epoch: [0][6200/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1865 (3.1895)	Prec@1 3.516 (4.310)	Prec@5 18.750 (21.022)
2021-10-18 22:13:03 - INFO - TRAINING - Epoch: [0][6300/7488]	Time 0.071 (0.072)	Data 0.000 (0.000)	Loss 3.1868 (3.1894)	Prec@1 5.859 (4.309)	Prec@5 20.703 (21.020)
2021-10-18 22:13:10 - INFO - TRAINING - Epoch: [0][6400/7488]	Time 0.070 (0.072)	Data 0.000 (0.000)	Loss 3.1808 (3.1893)	Prec@1 3.516 (4.311)	Prec@5 23.438 (21.020)
2021-10-18 22:13:17 - INFO - TRAINING - Epoch: [0][6500/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1800 (3.1892)	Prec@1 4.688 (4.307)	Prec@5 23.047 (21.016)
2021-10-18 22:13:24 - INFO - TRAINING - Epoch: [0][6600/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1700 (3.1891)	Prec@1 5.469 (4.308)	Prec@5 27.734 (21.016)
2021-10-18 22:13:32 - INFO - TRAINING - Epoch: [0][6700/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1729 (3.1890)	Prec@1 5.859 (4.312)	Prec@5 23.828 (21.015)
2021-10-18 22:13:39 - INFO - TRAINING - Epoch: [0][6800/7488]	Time 0.074 (0.072)	Data 0.000 (0.000)	Loss 3.1766 (3.1890)	Prec@1 3.516 (4.311)	Prec@5 22.266 (21.012)
2021-10-18 22:13:46 - INFO - TRAINING - Epoch: [0][6900/7488]	Time 0.070 (0.072)	Data 0.000 (0.000)	Loss 3.1923 (3.1889)	Prec@1 5.469 (4.311)	Prec@5 22.266 (21.016)
2021-10-18 22:13:53 - INFO - TRAINING - Epoch: [0][7000/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1804 (3.1888)	Prec@1 4.688 (4.310)	Prec@5 21.484 (21.017)
2021-10-18 22:14:00 - INFO - TRAINING - Epoch: [0][7100/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1821 (3.1887)	Prec@1 3.125 (4.308)	Prec@5 20.312 (21.014)
2021-10-18 22:14:08 - INFO - TRAINING - Epoch: [0][7200/7488]	Time 0.069 (0.072)	Data 0.000 (0.000)	Loss 3.1907 (3.1887)	Prec@1 5.078 (4.306)	Prec@5 18.359 (21.008)
2021-10-18 22:14:15 - INFO - TRAINING - Epoch: [0][7300/7488]	Time 0.075 (0.072)	Data 0.000 (0.000)	Loss 3.1848 (3.1886)	Prec@1 4.688 (4.307)	Prec@5 23.047 (21.014)
2021-10-18 22:14:22 - INFO - TRAINING - Epoch: [0][7400/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1860 (3.1885)	Prec@1 2.734 (4.306)	Prec@5 19.531 (21.018)
2021-10-18 22:14:30 - INFO - EVALUATING - Epoch: [0][0/2496]	Time 1.094 (1.094)	Data 1.070 (1.070)	Loss 3.1132 (3.1132)	Prec@1 12.109 (12.109)	Prec@5 39.844 (39.844)
2021-10-18 22:14:32 - INFO - EVALUATING - Epoch: [0][100/2496]	Time 0.023 (0.034)	Data 0.000 (0.011)	Loss 3.1516 (3.1351)	Prec@1 6.641 (8.516)	Prec@5 29.297 (34.027)
2021-10-18 22:14:34 - INFO - EVALUATING - Epoch: [0][200/2496]	Time 0.023 (0.028)	Data 0.000 (0.005)	Loss 3.1459 (3.1416)	Prec@1 7.812 (8.345)	Prec@5 31.641 (32.492)
2021-10-18 22:14:37 - INFO - EVALUATING - Epoch: [0][300/2496]	Time 0.023 (0.027)	Data 0.000 (0.004)	Loss 3.2175 (3.1608)	Prec@1 1.562 (6.345)	Prec@5 10.547 (26.360)
2021-10-18 22:14:39 - INFO - EVALUATING - Epoch: [0][400/2496]	Time 0.023 (0.026)	Data 0.000 (0.003)	Loss 3.2076 (3.1726)	Prec@1 1.562 (5.100)	Prec@5 12.891 (22.639)
2021-10-18 22:14:41 - INFO - EVALUATING - Epoch: [0][500/2496]	Time 0.023 (0.025)	Data 0.000 (0.002)	Loss 3.1509 (3.1761)	Prec@1 6.641 (4.616)	Prec@5 32.031 (21.297)
2021-10-18 22:14:44 - INFO - EVALUATING - Epoch: [0][600/2496]	Time 0.023 (0.025)	Data 0.000 (0.002)	Loss 3.1652 (3.1747)	Prec@1 4.297 (4.694)	Prec@5 24.609 (21.819)
2021-10-18 22:14:46 - INFO - EVALUATING - Epoch: [0][700/2496]	Time 0.023 (0.025)	Data 0.000 (0.002)	Loss 3.1251 (3.1716)	Prec@1 8.203 (4.792)	Prec@5 36.719 (22.650)
2021-10-18 22:14:48 - INFO - EVALUATING - Epoch: [0][800/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.1395 (3.1669)	Prec@1 4.688 (5.048)	Prec@5 31.641 (24.106)
