2021-09-26 13:35:05 - INFO - saving to ./results/RML_resnet_2018.01A_BNN
2021-09-26 13:35:05 - DEBUG - run arguments: Namespace(results_dir='./results', save='RML_resnet_2018.01A_BNN', dataset='rml', model='resnet_binary', input_size=None, model_config='', type='torch.cuda.FloatTensor', gpus='0', workers=8, epochs=200, start_epoch=0, batch_size=256, optimizer='SGD', lr=0.1, momentum=0.9, weight_decay=0.0001, print_freq=100, resume='', evaluate=None)
2021-09-26 13:35:05 - INFO - creating model resnet_binary
2021-09-26 13:35:05 - INFO - created model with configuration: {'input_size': None, 'dataset': 'rml'}
2021-09-26 13:35:05 - INFO - number of parameters: 736312
2021-09-26 13:35:23 - INFO - training regime: {0: {'optimizer': 'SGD', 'lr': 0.05}, 101: {'lr': 0.001}, 142: {'lr': 0.0005}, 184: {'lr': 0.0001}, 220: {'lr': 1e-05}}
2021-09-26 13:35:23 - DEBUG - OPTIMIZER - setting method = SGD
2021-09-26 13:35:23 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-09-26 13:41:28 - INFO - TRAINING - Epoch: [0][5000/7488]	Time 0.070 (0.073)	Data 0.000 (0.001)	Loss 29.2779 (28.4207)	Prec@1 2.344 (4.168)	Prec@5 20.312 (20.858)
2021-09-26 13:41:35 - INFO - TRAINING - Epoch: [0][5100/7488]	Time 0.070 (0.073)	Data 0.000 (0.001)	Loss 28.5754 (28.4309)	Prec@1 2.734 (4.172)	Prec@5 20.312 (20.856)
2021-09-26 13:41:43 - INFO - TRAINING - Epoch: [0][5200/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 31.1618 (28.4365)	Prec@1 4.297 (4.173)	Prec@5 21.484 (20.861)
2021-09-26 13:41:50 - INFO - TRAINING - Epoch: [0][5300/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 22.5369 (28.4490)	Prec@1 2.344 (4.176)	Prec@5 19.922 (20.867)
2021-09-26 13:41:57 - INFO - TRAINING - Epoch: [0][5400/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 27.5280 (28.4818)	Prec@1 4.297 (4.173)	Prec@5 19.141 (20.863)
2021-09-26 13:42:05 - INFO - TRAINING - Epoch: [0][5500/7488]	Time 0.074 (0.073)	Data 0.000 (0.000)	Loss 35.3272 (28.4878)	Prec@1 4.297 (4.175)	Prec@5 20.312 (20.866)
2021-09-26 13:42:12 - INFO - TRAINING - Epoch: [0][5600/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 31.5435 (28.4975)	Prec@1 3.125 (4.178)	Prec@5 18.359 (20.865)
2021-09-26 13:42:19 - INFO - TRAINING - Epoch: [0][5700/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 27.0945 (28.4881)	Prec@1 3.125 (4.179)	Prec@5 25.000 (20.863)
2021-09-26 13:42:26 - INFO - TRAINING - Epoch: [0][5800/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 21.2924 (28.5019)	Prec@1 3.125 (4.180)	Prec@5 21.484 (20.861)
2021-09-26 13:42:34 - INFO - TRAINING - Epoch: [0][5900/7488]	Time 0.070 (0.073)	Data 0.000 (0.000)	Loss 30.7809 (28.5011)	Prec@1 3.125 (4.181)	Prec@5 21.875 (20.866)
2021-09-26 13:42:41 - INFO - TRAINING - Epoch: [0][6000/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 31.7590 (28.4963)	Prec@1 7.031 (4.183)	Prec@5 22.266 (20.869)
2021-09-26 13:42:48 - INFO - TRAINING - Epoch: [0][6100/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 24.1099 (28.5023)	Prec@1 3.125 (4.182)	Prec@5 25.000 (20.871)
2021-09-26 13:42:56 - INFO - TRAINING - Epoch: [0][6200/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 23.0988 (28.5162)	Prec@1 4.688 (4.184)	Prec@5 18.750 (20.868)
2021-09-26 13:43:03 - INFO - TRAINING - Epoch: [0][6300/7488]	Time 0.070 (0.073)	Data 0.000 (0.000)	Loss 29.7233 (28.5210)	Prec@1 3.906 (4.183)	Prec@5 21.094 (20.863)
2021-09-26 13:43:10 - INFO - TRAINING - Epoch: [0][6400/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 22.1469 (28.5126)	Prec@1 3.516 (4.183)	Prec@5 24.219 (20.865)
2021-09-26 13:43:17 - INFO - TRAINING - Epoch: [0][6500/7488]	Time 0.071 (0.073)	Data 0.000 (0.000)	Loss 24.3858 (28.5198)	Prec@1 4.297 (4.180)	Prec@5 20.312 (20.862)
2021-09-26 13:43:25 - INFO - TRAINING - Epoch: [0][6600/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 27.2742 (28.5282)	Prec@1 5.469 (4.180)	Prec@5 20.312 (20.865)
2021-09-26 13:43:32 - INFO - TRAINING - Epoch: [0][6700/7488]	Time 0.070 (0.073)	Data 0.000 (0.000)	Loss 27.3832 (28.5319)	Prec@1 5.859 (4.180)	Prec@5 18.359 (20.868)
2021-09-26 13:43:39 - INFO - TRAINING - Epoch: [0][6800/7488]	Time 0.074 (0.073)	Data 0.000 (0.000)	Loss 24.7098 (28.5348)	Prec@1 2.344 (4.177)	Prec@5 19.531 (20.861)
2021-09-26 13:43:47 - INFO - TRAINING - Epoch: [0][6900/7488]	Time 0.072 (0.073)	Data 0.000 (0.000)	Loss 38.8714 (28.5429)	Prec@1 5.078 (4.180)	Prec@5 19.141 (20.866)
2021-09-26 13:43:54 - INFO - TRAINING - Epoch: [0][7000/7488]	Time 0.074 (0.073)	Data 0.000 (0.000)	Loss 31.2039 (28.5537)	Prec@1 4.297 (4.181)	Prec@5 19.141 (20.864)
2021-09-26 13:44:01 - INFO - TRAINING - Epoch: [0][7100/7488]	Time 0.075 (0.073)	Data 0.000 (0.000)	Loss 29.5198 (28.5574)	Prec@1 5.859 (4.181)	Prec@5 25.000 (20.868)
2021-09-26 13:44:08 - INFO - TRAINING - Epoch: [0][7200/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 29.7663 (28.5508)	Prec@1 3.906 (4.182)	Prec@5 21.484 (20.873)
2021-09-26 13:44:16 - INFO - TRAINING - Epoch: [0][7300/7488]	Time 0.070 (0.073)	Data 0.000 (0.000)	Loss 26.2900 (28.5523)	Prec@1 4.297 (4.186)	Prec@5 24.219 (20.881)
2021-09-26 13:44:23 - INFO - TRAINING - Epoch: [0][7400/7488]	Time 0.073 (0.073)	Data 0.000 (0.000)	Loss 37.3452 (28.5657)	Prec@1 6.250 (4.187)	Prec@5 28.906 (20.884)
2021-09-26 13:44:32 - INFO - EVALUATING - Epoch: [0][0/2496]	Time 1.773 (1.773)	Data 1.745 (1.745)	Loss 50.7064 (50.7064)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
2021-09-26 13:44:34 - INFO - EVALUATING - Epoch: [0][100/2496]	Time 0.023 (0.041)	Data 0.000 (0.017)	Loss 40.2915 (47.3526)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.035)
2021-09-26 13:44:36 - INFO - EVALUATING - Epoch: [0][200/2496]	Time 0.023 (0.032)	Data 0.000 (0.009)	Loss 41.4718 (44.5060)	Prec@1 0.000 (0.000)	Prec@5 0.391 (0.072)
2021-09-26 13:44:39 - INFO - EVALUATING - Epoch: [0][300/2496]	Time 0.023 (0.029)	Data 0.000 (0.006)	Loss 19.4769 (36.1831)	Prec@1 0.391 (0.065)	Prec@5 38.672 (10.861)
2021-09-26 13:44:41 - INFO - EVALUATING - Epoch: [0][400/2496]	Time 0.023 (0.028)	Data 0.000 (0.004)	Loss 20.7243 (32.3010)	Prec@1 0.781 (0.123)	Prec@5 35.938 (16.121)
2021-09-26 13:44:43 - INFO - EVALUATING - Epoch: [0][500/2496]	Time 0.023 (0.027)	Data 0.000 (0.004)	Loss 9.0021 (29.9500)	Prec@1 34.375 (1.447)	Prec@5 56.641 (16.468)
2021-09-26 13:44:46 - INFO - EVALUATING - Epoch: [0][600/2496]	Time 0.023 (0.026)	Data 0.000 (0.003)	Loss 9.3980 (26.5090)	Prec@1 28.906 (6.605)	Prec@5 55.859 (22.856)
2021-09-26 13:44:48 - INFO - EVALUATING - Epoch: [0][700/2496]	Time 0.023 (0.026)	Data 0.000 (0.003)	Loss 12.1782 (23.6501)	Prec@1 1.562 (9.817)	Prec@5 50.781 (31.412)
2021-09-26 13:44:50 - INFO - EVALUATING - Epoch: [0][800/2496]	Time 0.023 (0.026)	Data 0.000 (0.002)	Loss 12.5319 (22.2210)	Prec@1 2.734 (8.933)	Prec@5 47.656 (33.915)
2021-09-26 13:44:53 - INFO - EVALUATING - Epoch: [0][900/2496]	Time 0.023 (0.025)	Data 0.000 (0.002)	Loss 46.6265 (22.7170)	Prec@1 0.000 (8.052)	Prec@5 0.000 (32.048)
2021-09-26 13:44:55 - INFO - EVALUATING - Epoch: [0][1000/2496]	Time 0.023 (0.025)	Data 0.000 (0.002)	Loss 25.8218 (24.4415)	Prec@1 0.000 (7.247)	Prec@5 0.000 (28.846)
2021-09-26 13:44:57 - INFO - EVALUATING - Epoch: [0][1100/2496]	Time 0.023 (0.025)	Data 0.000 (0.002)	Loss 13.7295 (24.2672)	Prec@1 0.000 (6.589)	Prec@5 42.578 (27.259)
2021-09-26 13:45:00 - INFO - EVALUATING - Epoch: [0][1200/2496]	Time 0.023 (0.025)	Data 0.000 (0.002)	Loss 10.4304 (23.3205)	Prec@1 0.000 (6.041)	Prec@5 58.594 (28.717)
2021-09-26 13:45:02 - INFO - EVALUATING - Epoch: [0][1300/2496]	Time 0.023 (0.025)	Data 0.000 (0.001)	Loss 17.3998 (22.4670)	Prec@1 0.000 (5.578)	Prec@5 3.125 (30.143)
2021-09-26 13:45:04 - INFO - EVALUATING - Epoch: [0][1400/2496]	Time 0.024 (0.025)	Data 0.000 (0.001)	Loss 3.1277 (21.9568)	Prec@1 31.250 (5.536)	Prec@5 100.000 (29.387)
2021-09-26 13:45:07 - INFO - EVALUATING - Epoch: [0][1500/2496]	Time 0.023 (0.025)	Data 0.000 (0.001)	Loss 16.4321 (20.8161)	Prec@1 0.000 (7.019)	Prec@5 10.156 (33.339)
2021-09-26 13:45:09 - INFO - EVALUATING - Epoch: [0][1600/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 18.0840 (20.5320)	Prec@1 0.000 (6.581)	Prec@5 6.250 (31.929)
2021-09-26 13:45:11 - INFO - EVALUATING - Epoch: [0][1700/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 77.0087 (20.5523)	Prec@1 0.000 (6.194)	Prec@5 0.000 (30.420)
2021-09-26 13:45:14 - INFO - EVALUATING - Epoch: [0][1800/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 50.0922 (23.6503)	Prec@1 0.000 (5.850)	Prec@5 0.000 (28.731)
2021-09-26 13:45:16 - INFO - EVALUATING - Epoch: [0][1900/2496]	Time 0.024 (0.024)	Data 0.000 (0.001)	Loss 46.6479 (24.8642)	Prec@1 0.000 (5.543)	Prec@5 0.000 (27.221)
2021-09-26 13:45:18 - INFO - EVALUATING - Epoch: [0][2000/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 22.0223 (24.7694)	Prec@1 0.000 (5.267)	Prec@5 0.000 (25.865)
2021-09-26 13:45:21 - INFO - EVALUATING - Epoch: [0][2100/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 34.7976 (25.2135)	Prec@1 0.000 (5.016)	Prec@5 0.000 (24.634)
2021-09-26 13:45:23 - INFO - EVALUATING - Epoch: [0][2200/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 44.8200 (26.0640)	Prec@1 0.000 (4.788)	Prec@5 0.000 (23.515)
2021-09-26 13:45:25 - INFO - EVALUATING - Epoch: [0][2300/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 20.2237 (26.0107)	Prec@1 2.344 (4.600)	Prec@5 18.359 (22.605)
2021-09-26 13:45:28 - INFO - EVALUATING - Epoch: [0][2400/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 42.0543 (26.6343)	Prec@1 0.000 (4.445)	Prec@5 0.000 (21.837)
2021-09-26 13:45:30 - INFO - 
 Epoch: 1	Training Loss 28.5796 	Training Prec@1 4.187 	Training Prec@5 20.882 	Validation Loss 27.1726 	Validation Prec@1 4.276 	Validation Prec@5 21.006 

2021-09-26 13:45:30 - DEBUG - OPTIMIZER - setting method = SGD
2021-09-26 13:45:30 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-09-26 13:45:32 - INFO - TRAINING - Epoch: [1][0/7488]	Time 1.898 (1.898)	Data 1.857 (1.857)	Loss 30.1943 (30.1943)	Prec@1 3.516 (3.516)	Prec@5 17.969 (17.969)
2021-09-26 13:45:39 - INFO - TRAINING - Epoch: [1][100/7488]	Time 0.072 (0.091)	Data 0.000 (0.019)	Loss 32.2169 (28.2675)	Prec@1 2.344 (4.289)	Prec@5 23.828 (20.993)
2021-09-26 13:45:47 - INFO - TRAINING - Epoch: [1][200/7488]	Time 0.072 (0.082)	Data 0.000 (0.009)	Loss 28.1362 (28.9415)	Prec@1 5.469 (4.174)	Prec@5 24.609 (20.940)
2021-09-26 13:45:54 - INFO - TRAINING - Epoch: [1][300/7488]	Time 0.073 (0.079)	Data 0.000 (0.006)	Loss 23.7737 (29.0332)	Prec@1 4.297 (4.180)	Prec@5 20.703 (20.967)
